2021-02-10 00:33:19,048 Copied \\LURCH\homeshare\media\in\03.jpg to \\LURCH\homeshare\media\photo\2016\11\03.jpg
2021-02-10 00:33:19,051 Removed \\LURCH\homeshare\media\in\03.jpg
2021-02-10 00:33:19,083 Extension .CR2 of IMG_8498.CR2 not recognized!, skipping...
2021-02-10 00:33:19,083 Extension .CR2 of IMG_8499.CR2 not recognized!, skipping...
2021-02-10 00:33:19,083 Extension .CR2 of IMG_8500.CR2 not recognized!, skipping...
2021-02-10 00:33:19,083 Extension .CR2 of IMG_8501.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8502.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8503.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8504.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8505.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8506.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8507.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8508.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8509.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8510.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8511.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .xmp of IMG_8511.xmp not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8512.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8513.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8514.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8515.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8516.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8517.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8518.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8519.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8520.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8521.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .xmp of IMG_8521.xmp not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8522.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8523.CR2 not recognized!, skipping...
2021-02-10 00:33:19,084 Extension .CR2 of IMG_8524.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8525.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8526.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8527.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .xmp of IMG_8527.xmp not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8528.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8529.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8530.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8531.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8532.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8533.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8534.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8535.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8536.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8537.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8538.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8539.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8540.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8541.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8542.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8543.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8544.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8545.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8546.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8547.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8548.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8549.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8550.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8551.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8552.CR2 not recognized!, skipping...
2021-02-10 00:33:19,085 Extension .CR2 of IMG_8553.CR2 not recognized!, skipping...
